ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	phase	genesym
ENSG00000290720.1_ZNF542P	115.540208314038	0.39997350097429	0.0806812664427276	4.95745194156336	7.14237017272312e-07	2.20337295148545e-06	Mid Phase	ENSG00000290720_ZNF542P
ENSG00000128245.15_YWHAH	1576.72042626082	0.4226496826603	0.0486800888858964	8.68218798143465	3.8822708261832495e-18	2.52640060117389e-17	Mid Phase	ENSG00000128245_YWHAH
ENSG00000108798.9_ABI3	1460.35232325653	0.481230932979354	0.071896806385297	6.69335617496588	2.1810939385942e-11	9.374441637525729e-11	Mid Phase	ENSG00000108798_ABI3
ENSG00000160789.24_LMNA	487.668503285074	0.57578918729749	0.0935435366107202	6.15530701702702	7.49321905010042e-10	2.8944284338551904e-09	Mid Phase	ENSG00000160789_LMNA
ENSG00000109113.20_RAB34	234.418328354717	0.75116121871502	0.0600571224305267	12.5074460499494	6.79747479781879e-36	1.10566910844739e-34	Mid Phase	ENSG00000109113_RAB34
ENSG00000282899.2_E2F2	191.206251080221	1.03399129012261	0.0787838692224325	13.1244035146752	2.38654456439765e-39	4.55093737413063e-38	Mid Phase	ENSG00000282899_E2F2
ENSG00000155659.15_VSIG4	98.4810520650551	2.0092677905154	0.148352546415692	13.5438712651775	8.6127605015559e-42	1.8861787659180097e-40	Mid Phase	ENSG00000155659_VSIG4
ENSG00000154358.23_OBSCN	1067.04073397553	-1.37534773755722	0.115890274393079	-11.8676717676264	1.74249612517186e-32	3.7532363346943304e-31	Late Phase	ENSG00000154358_OBSCN
ENSG00000214279.13_SCART1	144.566108268249	-1.01710243830793	0.145416634373084	-6.99440227517875	2.66392189328023e-12	1.5026580066651198e-11	Late Phase	ENSG00000214279_SCART1
ENSG00000173114.13_LRRN3	253.974656108075	-0.555107566448126	0.167687038111556	-3.31037850450214	0.0009316988948269	0.0022919579731233	Late Phase	ENSG00000173114_LRRN3
ENSG00000113721.14_PDGFRB	190.343097159206	-0.529087075505238	0.139517516859378	-3.79226270231367	0.0001492808730238	0.0004096832761505	Late Phase	ENSG00000113721_PDGFRB
ENSG00000172985.11_SH3RF3	135.931631581982	-0.522525816275961	0.118795857017699	-4.39851884900425	1.08992162081117e-05	3.42072601334189e-05	Late Phase	ENSG00000172985_SH3RF3
ENSG00000072310.18_SREBF1	1082.30869690211	-0.506625360843325	0.0759362310139559	-6.67172118076567	2.5282055764957498e-11	1.3196972390504e-10	Late Phase	ENSG00000072310_SREBF1
ENSG00000135046.14_ANXA1	5569.66081865207	-0.500153634095686	0.0957805349405198	-5.22187137925554	1.77123981271088e-07	6.67682338774598e-07	Late Phase	ENSG00000135046_ANXA1
ENSG00000151136.15_ABTB3	336.753379425638	-0.494904239833494	0.0753562113792347	-6.56753080834782	5.1156430341303595e-11	2.61014576393073e-10	Late Phase	ENSG00000151136_ABTB3
ENSG00000159733.14_ZFYVE28	438.843937584036	-0.478201696897865	0.0710316921150467	-6.73223011671106	1.67082111008614e-11	8.83269276749579e-11	Late Phase	ENSG00000159733_ZFYVE28
ENSG00000186462.9_NAP1L2	69.2969634143333	-0.454192069013029	0.0917068674055565	-4.95265056873494	7.32093689647703e-07	2.59699729956446e-06	Late Phase	ENSG00000186462_NAP1L2
ENSG00000178163.8_ZNF518B	425.596163405586	-0.430631379916856	0.0471989279757283	-9.12375340682113	7.25665613115957e-20	6.920867388044121e-19	Late Phase	ENSG00000178163_ZNF518B
ENSG00000196586.17_MYO6	105.194754109961	-0.400608171787774	0.132003551278294	-3.03482874444188	0.0024067230415918	0.005537393522165	Late Phase	ENSG00000196586_MYO6
ENSG00000169918.10_OTUD7A	69.1888462954148	-0.388962758060753	0.0950521939714539	-4.09209658198491	4.27490522174221e-05	0.0001258809459597	Late Phase	ENSG00000169918_OTUD7A
ENSG00000174807.4_CD248	103.931121888601	-0.341284708702866	0.173606638747212	-1.96585056404329	0.0493158749918978	0.0867995713449132	Late Phase	ENSG00000174807_CD248
